date,amount,description
2024-03-16,3616.56,MARROTT Intl
2025-11-02,3378.37,SPOTIFY AB Stockholm
2024-07-07,7533.75,NETFLIX.COM BILLING
2024-10-02,2613.69,MARROTT Intl
2024-10-10,4594.82,ADOBE*SUBSCRIPTION
2025-01-26,3910.31,AMZN Mktp IN
2025-12-15,6927.47,AMZN Mktp IN
2024-12-06,10031.24,MARROTT Intl
2024-01-24,13131.24,Starbuks Coffee
2026-01-03,11977.25,AIR TEL LTD
2025-06-08,8383.37,SPOTIFY AB Stockholm
2024-02-28,5682.79,Starbuks Coffee
2024-08-31,11774.29,FB Ads 23819
2024-02-19,6226.92,Apollo Hlth Srvs
2025-01-12,12952.37,NETFLIX.COM BILLING
2024-12-27,1613.42,AMZN Mktp IN
2024-10-03,11429.79,AIR TEL LTD
2025-03-28,6186.67,SPOTIFY AB Stockholm
2024-03-19,2879.96,ADOBE*SUBSCRIPTION
2025-06-04,4371.23,NETFLIX.COM BILLING
2025-05-18,2999.28,ADOBE*SUBSCRIPTION
2025-08-06,11477.54,SPOTIFY AB Stockholm
2024-06-30,11988.85,MARROTT Intl
2024-12-24,6922.14,NETFLIX.COM BILLING
2024-02-20,8868.35,MARROTT Intl
2024-08-19,2236.55,NETFLIX.COM BILLING
2024-01-14,1398.36,FB Ads 23819
2025-06-25,6549.26,Uber Trip ID 93821
2025-06-29,4443.98,FB Ads 23819
2026-02-13,5461.97,FB Ads 23819
2026-01-12,12806.43,SPOTIFY AB Stockholm
2024-12-30,6390.23,Uber Trip ID 93821
2024-03-10,12738.83,SPOTIFY AB Stockholm
2025-06-08,7986.54,Uber Trip ID 93821
2024-02-13,8441.9,FB Ads 23819
2024-06-15,14135.06,AMZN Mktp IN
2025-03-17,9171.96,ADOBE*SUBSCRIPTION
2024-09-24,9135.66,AMZN Mktp IN
2024-11-13,14206.47,SPOTIFY AB Stockholm
2024-08-04,4235.54,Apollo Hlth Srvs
2025-02-18,2283.08,Transaction Ref 83921
2025-04-24,14054.99,Subscription Renewal
2024-09-07,3615.61,Consulting Charge
2025-05-28,14711.65,Transaction Ref 83921
2026-02-07,16697.48,Consulting Charge
2025-12-05,12617.1,Vendor XZP
2025-11-14,6108.83,Transaction Ref 83921
2025-08-12,12251.29,Misc Vendor
2025-06-27,7674.57,Vendor XZP
2024-03-24,13601.4,Subscription Renewal
2025-11-20,17903.71,Global Solutions Ltd
2025-09-27,13518.45,Transaction Ref 83921
2024-01-11,14584.45,Consulting Charge
2024-12-11,11554.41,Vendor XZP
2025-09-08,3784.41,Vendor XZP
2025-12-18,8762.32,Payment Processing Fee
2024-07-08,8337.45,Vendor XZP
2024-01-08,1621.49,Payment Processing Fee
2024-01-19,4014.94,Transaction Ref 83921
2024-06-19,1840.07,Consulting Charge
2025-11-27,174304.56,Unknown International Transfer
2025-02-28,174360.44,Unknown International Transfer
2024-01-16,158890.83,Unknown International Transfer
2024-05-16,151846.84,Unknown International Transfer
2025-01-16,142885.11,Unknown International Transfer
2024-03-17,179356.19,Unknown International Transfer
2024-02-17,174217.47,Unknown International Transfer
2024-04-18,120411.27,Unknown International Transfer
2024-08-17,102925.73,Unknown International Transfer
2025-06-22,174473.08,Unknown International Transfer
