date,amount,description
2024-05-05,6005.44,Staples payment
2025-01-11,2906.16,Airtel payment
2025-09-06,12719.78,Spotify payment
2024-03-29,8642.16,Flipkart payment
2025-06-24,5602.01,Electricity Board payment
2025-05-26,13762.05,Vodafone payment
2025-02-19,1721.98,Apollo Hospital payment
2025-05-24,5929.01,Adobe payment
2024-01-26,14058.81,Airtel payment
2025-07-27,11774.29,Air India payment
2025-07-25,12837.78,Amazon payment
2024-05-18,13666.08,Spotify payment
2024-03-28,13054.35,Spotify payment
2024-10-03,2445.59,Amazon payment
2025-07-14,1716.78,Marriott Hotel payment
2024-08-04,3682.67,Netflix payment
2025-11-20,8649.15,Facebook Ads payment
2025-01-15,2928.69,Apollo Hospital payment
2024-12-31,6807.84,BookMyShow payment
2025-09-09,10074.09,Adobe payment
2025-02-05,12918.01,Pharmacy Store payment
2025-05-20,11456.34,KFC payment
2024-11-17,5063.13,Internet Provider payment
2024-03-24,11128.49,Pharmacy Store payment
2024-09-10,787.49,Google Ads payment
2025-10-19,14565.01,Staples payment
2025-12-18,8767.7,Vodafone payment
2025-08-16,3481.54,Staples payment
2024-05-06,9823.06,Apollo Hospital payment
2025-07-04,8796.28,Dominos payment
2024-04-28,14293.49,Airtel payment
2024-10-12,4611.98,Apollo Hospital payment
2024-09-11,4317.45,Pharmacy Store payment
2025-10-22,7435.77,Uber payment
2024-09-16,5818.96,Flipkart payment
2025-05-05,2844.85,Google Ads payment
2025-01-23,8241.07,LinkedIn Ads payment
2025-10-21,4104.24,Staples payment
2024-11-12,3582.35,Flipkart payment
2024-05-04,1805.67,Apollo Hospital payment
2024-11-10,7747.82,Electricity Board payment
2024-09-04,9439.03,Dominos payment
2024-07-30,3196.5,Adobe payment
2024-02-14,5191.63,McDonald's payment
2024-07-09,8989.56,Amazon payment
2025-10-17,11586.05,Netflix payment
2024-02-01,10227.05,Pharmacy Store payment
2024-05-17,4088.36,Vodafone payment
2025-10-25,7794.87,Pharmacy Store payment
2024-02-17,380.18,Adobe payment
2025-10-27,866.34,Google Ads payment
2025-07-16,2608.98,Local Restaurant payment
2025-09-27,13567.84,BookMyShow payment
2026-01-04,14115.43,Spotify payment
2024-12-18,8870.84,Air India payment
2024-02-09,14869.65,Staples payment
2025-02-10,8825.3,Netflix payment
2024-09-03,4974.09,Apollo Hospital payment
2025-08-11,12777.04,Vodafone payment
2024-10-08,2877.42,Airtel payment
2024-05-24,4755.28,Marriott Hotel payment
2024-02-24,3164.49,Facebook Ads payment
2025-11-21,8980.7,IndiGo payment
2025-11-12,9139.9,Pharmacy Store payment
2024-03-30,12690.43,Staples payment
2024-06-13,6954.97,LinkedIn Ads payment
2024-01-18,3253.14,IndiGo payment
2025-02-28,1123.39,Slack payment
2024-11-20,6875.19,Amazon payment
2024-10-15,5921.7,Flipkart payment
2024-03-19,3443.87,Uber payment
2025-11-29,13599.19,Local Restaurant payment
2024-12-02,4950.86,Pharmacy Store payment
2025-07-14,12666.67,Netflix payment
2025-05-06,7627.54,Staples payment
2024-08-04,8795.89,Internet Provider payment
2024-05-26,8908.09,Google Cloud payment
2024-04-24,7367.36,Facebook Ads payment
2025-10-04,4389.81,Vodafone payment
2025-05-28,13816.53,Uber payment
2025-04-20,6548.63,Uber payment
2024-02-29,10500.22,Google Cloud payment
2025-11-04,7735.79,AWS payment
2025-01-28,4665.59,AWS payment
2024-09-25,13249.3,Google Ads payment
2025-12-31,6801.63,Airtel payment
2025-10-12,7418.8,Electricity Board payment
2025-02-06,850.74,Amazon payment
2025-10-27,14640.19,Google Cloud payment
2024-06-16,2275.23,Dominos payment
2024-09-15,67481.76,Unknown Vendor Large Payment
2024-09-15,75947.64,Unknown Vendor Large Payment
2024-04-28,75969.63,Unknown Vendor Large Payment
2024-12-11,108561.41,Unknown Vendor Large Payment
2024-07-10,110071.02,Unknown Vendor Large Payment
2024-06-15,4999.99,Amazon payment
2024-06-15,4999.99,Amazon payment
2024-06-15,4999.99,Amazon payment
2024-06-15,4999.99,Amazon payment
2024-06-15,4999.99,Amazon payment
